FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
fn_param.rs,29.647,2.118,14.000,0.560,false
use_tree.rs,35.206,2.071,17.000,0.680,false
pattern.rs,29.200,0.848,444.058,116.885,false
cfg.rs,5.124,0.270,34.658,26.703,false
lint.rs,19.643,0.786,25.163,6.383,false
repr.rs,7.968,0.419,21.380,14.250,false
derive.rs,21.371,0.857,34.669,11.333,false
qualified_path.rs,131.341,1.857,83.008,3.423,false
format_string.rs,22.667,1.619,14.000,0.544,false
lifetime.rs,50.124,1.474,34.000,1.360,false
attribute.rs,31.550,0.614,62.184,20.317,false
dot.rs,125.563,2.025,62.001,1.365,false
extern_abi.rs,6.145,0.614,10.000,0.400,false
postfix.rs,79.819,1.588,65.100,7.459,false
keyword.rs,74.034,1.837,59.023,4.436,false
mod_.rs,62.918,1.234,51.144,7.780,false
flyimport.rs,41.417,0.788,63.538,25.782,false
snippet.rs,27.104,0.968,28.026,3.584,false
trait_impl.rs,160.289,2.033,81.029,5.293,false
unqualified_path.rs,63.964,1.391,46.001,1.553,false
vis.rs,10.783,0.674,16.686,8.889,false
use_.rs,19.667,1.296,27.083,5.226,false
format_like.rs,34.880,1.193,43.124,6.985,false
record.rs,61.519,1.922,32.008,2.530,false
fn_param.rs,38.649,0.805,48.513,11.636,false
pattern.rs,25.371,0.793,32.082,5.517,false
type_alias.rs,6.884,0.860,8.001,0.842,false
function.rs,82.320,1.266,65.003,2.436,false
union_literal.rs,0.000,0.000,132.000,44.000,false
macro_.rs,46.667,1.333,35.004,1.991,false
struct_literal.rs,12.587,0.787,16.029,3.097,false
enum_variant.rs,11.294,0.753,15.006,1.818,false
compound.rs,14.167,0.833,17.010,2.194,false
const_.rs,6.125,0.875,7.005,1.273,false
tls.rs,0.000,0.000,756.000,108.000,false
consteval.rs,68.562,0.719,1142.620,213.588,false
tests.rs,107.908,1.078,129.127,32.080,false
display.rs,304.437,0.944,5524.559,553.019,false
walk.rs,0.000,0.000,3906.000,248.000,false
builder.rs,35.055,0.746,47.170,8.000,false
chalk_ext.rs,62.978,0.518,515.466,146.963,false
traits.rs,20.562,0.541,58.058,36.538,false
match_check.rs,33.256,0.526,420.493,121.846,false
deconstruct_pat.rs,142.339,0.837,386.899,133.506,false
pat_util.rs,5.500,0.500,11.000,0.440,false
usefulness.rs,65.676,0.791,83.982,17.343,false
decl_check.rs,106.310,0.770,159.194,53.862,false
unsafe_check.rs,18.453,0.802,23.000,0.920,false
case_conv.rs,50.667,1.034,49.005,2.545,false
expr.rs,98.645,0.987,119.242,12.268,false
lib.rs,35.483,0.623,69.318,35.553,false
interner.rs,34.810,0.405,1010.500,172.000,false
autoderef.rs,22.029,0.760,29.002,1.450,false
method_resolution.rs,197.848,0.901,241.679,41.402,false
test_db.rs,27.542,0.626,45.873,17.407,false
coerce.rs,97.097,1.184,103.106,23.877,false
unify.rs,104.133,0.801,141.209,45.349,false
closure.rs,13.206,0.825,16.013,2.370,false
pat.rs,70.575,1.302,89.603,15.085,false
expr.rs,239.899,1.280,301.404,54.015,false
path.rs,43.406,0.992,57.947,19.109,false
utils.rs,70.015,0.796,88.858,16.908,false
lower.rs,261.667,0.980,330.068,68.605,false
db.rs,2.788,0.279,10.569,7.143,false
primitive.rs,29.815,0.852,35.000,1.400,false
chalk_db.rs,108.814,0.812,187.575,77.164,false
coercion.rs,110.960,2.920,38.000,1.520,false
traits.rs,510.912,4.154,123.000,4.920,false
incremental.rs,6.857,1.143,6.000,0.240,false
macros.rs,167.127,3.556,47.010,3.141,false
method_resolution.rs,227.492,3.611,63.000,2.520,false
never_type.rs,65.581,3.279,20.000,0.800,false
patterns.rs,122.590,4.715,26.000,1.040,false
simple.rs,336.700,4.550,74.000,2.960,false
regression.rs,174.414,3.559,49.000,1.960,false
display_source_code.rs,28.904,3.212,9.000,0.360,false
mapping.rs,26.526,0.632,43.764,16.800,false
infer.rs,136.281,0.748,207.175,42.986,false
builtin_derive_macro.rs,19.364,0.645,38.468,25.333,false
hygiene.rs,46.766,0.650,72.836,15.673,false
ast_id_map.rs,32.042,0.641,50.187,8.421,false
fixup.rs,34.907,1.027,34.006,2.315,false
eager.rs,31.175,0.863,59.948,34.500,false
builtin_attr_macro.rs,8.684,0.579,17.575,13.521,false
lib.rs,144.473,0.704,347.865,118.528,false
mod_path.rs,41.625,0.837,78.408,27.535,false
db.rs,92.901,0.894,126.503,30.211,false
name.rs,10.063,0.201,50.509,11.765,false
builtin_fn_macro.rs,85.197,0.682,258.811,102.296,false
quote.rs,12.648,0.436,29.000,1.160,false
proc_macro.rs,7.241,0.483,23.333,20.000,false
from_id.rs,78.985,0.523,199.047,77.436,false
has_source.rs,36.927,0.543,68.062,6.476,false
display.rs,187.473,1.037,319.528,92.197,false
symbols.rs,59.521,0.901,79.379,12.419,false
lib.rs,649.622,0.772,3046.708,502.604,false
attrs.rs,15.839,0.472,298.471,93.130,false
source_to_def.rs,97.272,0.831,154.633,52.765,false
semantics.rs,280.534,0.845,352.413,75.696,false
db.rs,1.200,0.400,3.000,0.120,false
source_analyzer.rs,209.953,1.079,241.750,22.621,false
diagnostics.rs,0.043,0.021,4.630,6.957,false
markdown_remove.rs,0.000,0.000,42.000,24.000,false
moniker.rs,54.214,1.567,47.029,4.441,false
goto_definition.rs,236.720,2.630,104.000,0.938,false
move_item.rs,101.324,1.949,52.000,0.522,false
goto_type_definition.rs,50.947,1.592,32.023,3.598,false
call_info.rs,101.289,1.746,58.001,1.539,false
view_hir.rs,0.000,0.000,42.000,24.000,false
topologic_sort.rs,5.385,0.256,120.041,51.059,false
syntax_highlighting.rs,61.688,1.340,84.909,16.970,false
annotations.rs,172.031,2.988,60.144,8.211,false
tests.rs,38.254,1.530,25.022,3.270,false
intra_doc_links.rs,15.836,0.754,21.032,3.500,false
fn_references.rs,14.316,1.193,12.000,0.480,false
rename.rs,367.824,2.021,182.120,11.177,false
fixture.rs,10.690,0.972,11.000,0.440,false
lib.rs,76.285,0.533,703.705,172.485,false
file_structure.rs,84.825,2.651,32.000,0.509,false
doc_links.rs,96.794,1.326,128.479,40.231,false
view_crate_graph.rs,0.000,0.000,420.000,80.000,false
expand_macro.rs,78.857,1.643,48.046,5.221,false
matching_brace.rs,14.407,0.847,17.000,0.680,false
parent_module.rs,24.720,1.301,19.000,0.760,false
syntax_tree.rs,42.500,2.500,17.002,1.378,false
highlight.rs,195.207,1.223,298.522,86.850,false
tests.rs,132.404,4.413,30.131,6.316,false
inject.rs,56.558,1.133,91.723,41.708,false
injector.rs,13.000,0.591,22.176,6.286,false
macro_.rs,27.611,0.708,39.003,1.926,false
format.rs,5.571,0.619,9.000,0.360,false
highlights.rs,16.053,0.803,20.000,0.800,false
html.rs,6.727,0.841,8.000,0.320,false
escape.rs,4.091,0.818,5.004,1.053,false
tags.rs,60.133,0.765,132.913,39.855,false
tests.rs,465.510,3.145,148.000,5.920,false
render.rs,122.279,0.966,174.542,56.993,false
extend_selection.rs,129.198,1.340,115.077,8.273,false
navigation_target.rs,136.692,0.774,200.805,57.198,false
runnables.rs,476.108,2.859,169.503,17.591,false
shuffle_crate_graph.rs,0.000,0.000,72.000,32.000,false
join_lines.rs,201.571,1.961,115.026,5.780,false
markup.rs,6.036,0.464,14.114,9.750,false
references.rs,256.606,1.873,137.021,5.685,false
typing.rs,112.707,1.549,77.996,16.997,false
status.rs,0.000,0.000,1406.000,148.000,false
highlight_related.rs,290.192,2.187,154.033,6.844,false
ssr.rs,21.386,2.139,10.000,0.400,false
view_item_tree.rs,0.000,0.000,6.000,8.000,false
inlay_hints.rs,408.635,1.872,222.232,14.892,false
goto_declaration.rs,13.395,0.837,16.178,5.671,false
on_enter.rs,97.859,1.529,64.007,3.036,false
call_hierarchy.rs,96.164,1.414,68.307,11.018,false
static_index.rs,40.408,0.808,51.236,15.814,false
goto_implementation.rs,60.448,1.634,37.013,3.094,false
hover.rs,78.899,1.446,92.135,9.266,false
prime_caches.rs,10.600,0.461,74.217,42.245,false
folding_ranges.rs,107.864,1.397,89.011,3.947,false
parser.rs,34.618,0.794,134.549,66.162,false
tt_iter.rs,43.385,0.723,60.033,5.000,false
lib.rs,67.212,0.665,102.019,18.742,false
to_parser_input.rs,29.345,1.494,37.099,6.167,false
transcriber.rs,35.680,0.728,52.412,22.036,false
matcher.rs,162.615,1.095,229.082,52.086,false
benchmark.rs,2.887,0.052,2712.900,211.957,false
token_map.rs,19.565,0.783,25.002,1.370,false
syntax_bridge.rs,147.422,1.033,187.521,18.404,false
expander.rs,4.923,0.615,8.002,0.970,false
lib.rs,0.434,0.007,3914.697,249.493,false
lib.rs,12.190,0.762,27.944,23.040,false
algo.rs,44.754,0.714,2552.184,240.314,false
