FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
params.rs,40.208,1.058,48.063,5.774,false
atom.rs,128.622,1.115,135.024,5.886,false
generic_params.rs,53.438,0.972,55.069,6.250,false
traits.rs,38.451,1.479,26.000,1.040,false
adt.rs,41.297,1.007,41.037,4.587,false
use_item.rs,22.590,1.426,26.004,1.926,false
consts.rs,10.385,1.154,9.000,0.360,false
patterns.rs,72.459,0.984,80.682,15.172,false
items.rs,93.117,1.246,102.119,9.183,false
expressions.rs,111.600,1.571,114.082,8.422,false
token_set.rs,5.750,0.719,8.208,4.741,false
lexed_str.rs,74.978,1.286,94.947,25.889,false
lib.rs,9.873,0.494,20.006,2.000,false
event.rs,8.542,0.610,14.004,1.514,false
output.rs,8.585,0.660,13.000,0.520,false
generated.rs,23.500,0.417,109.371,43.472,false
grammar.rs,45.551,0.878,58.156,8.335,false
sourcegen_inline_tests.rs,20.222,0.843,24.081,5.000,false
input.rs,9.500,0.679,14.000,0.560,false
syntax_kind.rs,4.091,0.455,9.000,0.360,false
child_by_source.rs,60.073,1.073,77.306,11.468,false
item_scope.rs,72.048,0.819,88.024,5.120,false
src.rs,4.645,0.516,9.000,0.360,false
attr.rs,199.008,0.886,275.586,59.613,false
intern.rs,40.904,0.584,70.969,16.311,false
resolver.rs,184.098,0.850,254.200,26.884,false
find_path.rs,165.016,1.596,121.025,5.774,false
generics.rs,74.368,0.751,99.380,13.403,false
body.rs,41.800,0.633,66.307,10.899,false
item_tree.rs,60.704,0.409,183.697,66.395,false
type_ref.rs,79.982,0.819,128.689,37.379,false
lib.rs,77.310,0.430,258.194,93.652,false
lang_item.rs,25.890,0.575,81.904,47.368,false
per_ns.rs,26.840,0.813,33.112,6.188,false
import_map.rs,196.842,1.323,154.248,13.468,false
dyn_map.rs,6.406,0.246,73.896,43.034,false
adt.rs,50.694,0.676,81.723,31.837,false
test_db.rs,48.462,0.692,71.342,18.182,false
keys.rs,1.435,0.239,6.000,0.240,false
db.rs,1.085,0.271,4.000,0.160,false
nameres.rs,50.775,0.758,67.028,4.945,false
builtin_derive_macro.rs,11.721,1.953,6.000,0.240,false
mbe.rs,176.462,2.846,62.000,2.480,false
meta_syntax.rs,20.308,5.077,4.000,0.160,false
tt_conversion.rs,13.235,2.647,5.000,0.200,false
regression.rs,115.862,6.815,17.000,0.680,false
matching.rs,6.769,1.692,4.000,0.160,false
proc_macros.rs,6.600,2.200,3.000,0.120,false
builtin_fn_macro.rs,45.377,2.836,16.000,0.640,false
lower.rs,44.286,1.206,54.020,4.101,false
lower_use.rs,16.611,1.181,26.346,8.320,false
tests.rs,102.818,2.779,37.000,1.480,false
path_resolution.rs,57.790,1.043,80.634,14.804,false
mod_resolution.rs,24.031,0.775,31.001,1.228,false
primitives.rs,4.667,2.333,2.000,0.080,false
incremental.rs,50.865,1.541,33.000,0.641,false
globs.rs,42.065,3.505,12.000,0.480,false
macros.rs,137.118,3.706,37.000,0.293,false
mod_resolution.rs,102.427,3.104,33.000,1.320,false
diagnostics.rs,8.556,0.713,12.002,1.215,false
collector.rs,271.562,1.146,305.181,43.186,false
proc_macro.rs,11.971,0.544,22.817,10.476,false
trace.rs,4.364,0.485,11.283,10.957,false
builtin_attr.rs,0.241,0.024,10.100,4.000,false
tests.rs,52.315,4.360,12.000,0.480,false
pretty.rs,139.100,1.110,278.072,102.913,false
lower.rs,208.324,1.122,226.022,6.797,false
macro_expansion_tests.rs,74.817,1.471,92.806,16.804,false
data.rs,52.538,0.796,66.130,8.193,false
tests.rs,13.333,1.333,10.000,0.400,false
scope.rs,81.561,1.133,72.004,2.730,false
lower.rs,194.715,1.143,247.214,32.621,false
block.rs,45.982,3.284,14.000,0.560,false
visibility.rs,37.051,0.662,62.373,28.373,false
expr.rs,18.689,0.557,60.705,23.821,false
builtin_type.rs,17.386,0.424,91.641,51.000,false
path.rs,48.531,0.619,95.471,36.131,false
lib.rs,40.303,0.806,50.457,11.348,false
memory_usage.rs,0.000,0.000,812.000,112.000,false
hprof.rs,2.957,0.043,3907.281,255.650,false
lib.rs,0.237,0.013,324.004,70.642,false
tree.rs,0.000,0.000,420.000,80.000,false
stop_watch.rs,0.000,0.000,650.000,100.000,false
lib.rs,3.500,0.318,26.125,22.000,false
manifest_path.rs,5.281,0.406,13.401,6.933,false
tests.rs,388.726,14.397,27.000,1.080,false
build_scripts.rs,0.282,0.006,1939.100,174.752,false
lib.rs,13.746,0.352,222.493,77.082,false
project_json.rs,8.830,0.327,62.698,39.512,false
sysroot.rs,27.055,0.530,163.233,71.552,false
rustc_cfg.rs,8.711,0.622,16.821,13.622,false
cfg_flag.rs,7.714,0.429,25.112,20.160,false
cargo_workspace.rs,39.810,0.452,426.534,124.000,false
workspace.rs,98.259,0.728,2117.120,280.109,false
lib.rs,57.517,0.533,190.377,82.884,false
buffer.rs,35.955,0.642,58.189,19.871,false
tests.rs,31.823,0.936,34.000,0.712,false
lib.rs,4.857,0.374,36.918,27.099,false
render.rs,284.744,2.072,146.001,2.246,false
item.rs,81.406,0.838,107.797,23.017,false
patterns.rs,57.266,0.970,77.152,9.089,false
context.rs,152.709,0.926,165.589,18.392,false
completions.rs,35.021,0.761,46.478,11.208,false
snippet.rs,21.964,0.732,30.438,9.438,false
config.rs,3.520,0.440,8.000,0.320,false
pattern.rs,42.115,2.217,19.000,0.760,false
type_pos.rs,24.250,3.031,8.000,0.320,false
item_list.rs,32.158,2.474,13.000,0.520,false
attribute.rs,111.877,2.283,49.000,1.960,false
item.rs,21.571,2.397,9.000,0.360,false
flyimport.rs,103.133,3.033,34.000,1.360,false
predicate.rs,18.667,2.333,8.000,0.320,false
proc_macros.rs,19.579,3.263,6.000,0.240,false
expression.rs,65.902,4.393,15.000,0.600,false
visibility.rs,8.611,1.722,5.000,0.200,false
record.rs,22.400,2.800,8.000,0.320,false
fn_param.rs,19.714,1.971,10.000,0.400,false
use_tree.rs,31.220,2.081,15.000,0.600,false
pattern.rs,20.000,1.143,28.085,5.333,false
cfg.rs,5.124,0.270,34.658,26.703,false
lint.rs,19.643,0.786,25.163,6.383,false
repr.rs,7.968,0.419,21.380,14.250,false
derive.rs,27.281,0.758,36.081,5.703,false
qualified_path.rs,159.136,1.811,106.174,10.565,false
lifetime.rs,49.568,1.458,34.000,1.360,false
attribute.rs,27.645,0.601,55.814,18.439,false
dot.rs,122.919,1.983,62.001,1.805,false
postfix.rs,78.425,1.588,64.062,6.334,false
keyword.rs,73.679,1.833,59.023,4.436,false
mod_.rs,62.918,1.234,51.144,7.780,false
flyimport.rs,39.619,0.782,59.472,23.172,false
snippet.rs,27.317,0.976,28.026,3.613,false
trait_impl.rs,173.185,2.044,87.026,5.242,false
unqualified_path.rs,82.101,1.582,59.001,1.781,false
format_like.rs,34.880,1.193,43.124,6.985,false
record.rs,46.160,2.198,21.000,0.840,false
fn_param.rs,12.121,0.758,16.192,5.818,false
pattern.rs,25.226,0.788,32.089,5.664,false
type_alias.rs,6.857,0.857,8.001,0.865,false
function.rs,50.838,1.541,33.000,1.320,false
builder_ext.rs,24.062,0.688,35.148,6.914,false
macro_.rs,51.377,1.317,39.009,2.786,false
struct_literal.rs,17.553,0.763,24.682,13.529,false
enum_variant.rs,13.960,0.931,15.000,0.600,false
const_.rs,6.087,0.870,7.005,1.333,false
tls.rs,0.000,0.000,812.000,112.000,false
consteval.rs,60.910,0.668,1290.447,221.187,false
tests.rs,107.771,1.086,126.946,28.594,false
display.rs,282.623,0.902,6388.648,576.779,false
walk.rs,0.000,0.000,3906.000,248.000,false
builder.rs,35.055,0.746,47.170,8.000,false
chalk_ext.rs,59.126,0.469,658.166,162.505,false
traits.rs,20.562,0.541,58.058,36.538,false
match_check.rs,33.256,0.526,420.493,121.846,false
deconstruct_pat.rs,142.017,0.835,393.328,135.095,false
pat_util.rs,5.500,0.500,11.000,0.440,false
usefulness.rs,65.676,0.791,83.982,17.343,false
decl_check.rs,106.057,0.768,160.393,55.086,false
unsafe_check.rs,18.453,0.802,23.000,0.920,false
case_conv.rs,50.667,1.034,49.005,2.545,false
expr.rs,96.744,0.945,118.487,15.433,false
lib.rs,35.483,0.623,69.318,35.553,false
interner.rs,34.810,0.405,1010.500,172.000,false
autoderef.rs,35.074,0.779,45.420,10.651,false
method_resolution.rs,182.320,0.941,212.536,32.425,false
test_db.rs,27.542,0.626,45.873,17.407,false
coerce.rs,96.922,1.176,103.019,23.543,false
unify.rs,95.538,0.790,134.726,47.370,false
closure.rs,13.206,0.825,16.013,2.370,false
pat.rs,68.376,1.310,85.450,13.480,false
expr.rs,248.641,1.254,321.579,67.320,false
path.rs,44.283,0.992,58.961,19.268,false
utils.rs,62.857,0.786,80.711,15.385,false
lower.rs,258.122,0.982,323.945,66.611,false
db.rs,2.822,0.282,10.569,7.143,false
primitive.rs,29.815,0.852,35.000,1.400,false
chalk_db.rs,108.814,0.812,184.661,75.739,false
coercion.rs,104.789,2.911,36.000,1.440,false
traits.rs,500.317,4.169,120.000,4.800,false
incremental.rs,6.857,1.143,6.000,0.240,false
macros.rs,167.127,3.556,47.010,3.141,false
method_resolution.rs,208.965,3.542,59.000,2.360,false
never_type.rs,65.581,3.279,20.000,0.800,false
patterns.rs,118.229,4.729,25.000,1.000,false
simple.rs,336.568,4.548,74.000,2.960,false
regression.rs,160.799,3.496,46.000,1.840,false
