FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
flip_binexpr.rs,27.077,0.967,28.009,2.489,false,false,crates/ide_assists/src/handlers/flip_binexpr.rs
flip_comma.rs,14.500,1.036,14.000,0.560,false,false,crates/ide_assists/src/handlers/flip_comma.rs
flip_trait_bound.rs,14.758,0.868,17.000,0.680,false,false,crates/ide_assists/src/handlers/flip_trait_bound.rs
flyimport.rs,39.619,0.782,59.472,23.172,false,true,crates/ide_completion/src/completions/flyimport.rs
flyimport.rs,103.133,3.033,34.000,1.360,false,true,crates/ide_completion/src/tests/flyimport.rs
fn_param.rs,29.647,2.118,14.000,0.560,false,true,crates/ide_completion/src/tests/fn_param.rs
fn_param.rs,38.649,0.805,48.513,11.636,false,true,crates/ide_completion/src/completions/fn_param.rs
fn_references.rs,14.316,1.193,12.000,0.480,false,false,crates/ide/src/fn_references.rs
folding_ranges.rs,107.864,1.397,89.011,3.947,false,true,crates/ide/src/folding_ranges.rs
format.rs,5.571,0.619,9.000,0.360,false,false,crates/ide/src/syntax_highlighting/format.rs
format_like.rs,34.880,1.193,43.124,6.985,false,true,crates/ide_completion/src/completions/postfix/format_like.rs
format_string.rs,22.667,1.619,14.000,0.544,false,true,crates/ide_completion/src/completions/format_string.rs
format_string.rs,61.176,1.450,70.350,11.613,false,true,crates/ide_db/src/helpers/format_string.rs
fragments.rs,14.909,0.932,16.026,2.977,false,false,crates/ide_ssr/src/fragments.rs
from_comment.rs,2.857,0.571,5.011,1.538,false,false,crates/ide_ssr/src/from_comment.rs
from_id.rs,78.268,0.525,190.694,73.532,false,true,crates/hir/src/from_id.rs
from_proto.rs,6.944,0.139,1367.279,161.538,false,true,crates/rust-analyzer/src/from_proto.rs
function.rs,57.080,1.502,38.000,0.849,false,true,crates/ide_completion/src/render/function.rs
fuzz.rs,0.000,0.000,272.000,64.000,false,true,crates/syntax/src/fuzz.rs
gen_trait_fn_body.rs,129.925,1.500,144.233,12.904,false,true,crates/ide_assists/src/utils/gen_trait_fn_body.rs
generate_constant.rs,19.710,1.159,17.000,0.680,false,false,crates/ide_assists/src/handlers/generate_constant.rs
