FILE,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
../serde/test_suite/tests/ui/default-attribute/nameless_struct_fields_path.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/duplicate-attribute/rename-and-ser.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/duplicate-attribute/rename-ser-rename-ser.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/duplicate-attribute/rename-ser-rename.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/duplicate-attribute/rename-ser-ser.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/duplicate-attribute/two-rename-ser.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/duplicate-attribute/with-and-serialize-with.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/enum-representation/content-no-tag.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/enum-representation/internal-tuple-variant.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/enum-representation/untagged-and-adjacent.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/enum-representation/untagged-and-content.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/enum-representation/untagged-and-internal.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/enum-representation/untagged-struct.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/expected-string/boolean.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/expected-string/byte_character.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/expected-string/byte_string.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/expected-string/character.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/expected-string/float.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/expected-string/integer.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/identifier/both.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/identifier/field_struct.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/identifier/field_tuple.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/identifier/newtype_not_last.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/identifier/not_unit.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/identifier/other_not_last.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/identifier/other_untagged.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/identifier/other_variant.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/identifier/variant_struct.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/identifier/variant_tuple.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/malformed/bound.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/malformed/cut_off.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/malformed/not_list.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/malformed/rename.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/precondition/deserialize_de_lifetime.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/precondition/deserialize_dst.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/precondition/serialize_field_identifier.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/precondition/serialize_variant_identifier.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/remote/bad_getter.rs,0.000,0.000,0.000,0.000,true,-,-
