FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
"disable_recursion_limit (208, 210)",0.000,0.000,0.000,0.000,false,false,"/Deserializer<R> (135,1215)/disable_recursion_limit (208,210)"
"peek (212, 214)",0.000,1.000,0.000,0.000,false,false,"/Deserializer<R> (135,1215)/peek (212,214)"
"peek_or_null (216, 218)",0.000,1.000,0.000,0.000,false,false,"/Deserializer<R> (135,1215)/peek_or_null (216,218)"
"eat_char (220, 222)",0.000,1.000,0.000,0.000,false,false,"/Deserializer<R> (135,1215)/eat_char (220,222)"
"next_char (224, 226)",0.000,1.000,0.000,0.000,false,false,"/Deserializer<R> (135,1215)/next_char (224,226)"
"next_char_or_null (228, 230)",0.000,1.000,0.000,0.000,false,false,"/Deserializer<R> (135,1215)/next_char_or_null (228,230)"
"error (234, 237)",0.000,1.000,0.000,0.000,false,false,"/Deserializer<R> (135,1215)/error (234,237)"
"peek_error (241, 244)",0.000,1.000,0.000,0.000,false,false,"/Deserializer<R> (135,1215)/peek_error (241,244)"
"parse_whitespace (248, 259)",0.667,0.667,1.000,0.000,false,false,"/Deserializer<R> (135,1215)/parse_whitespace (248,259)"
"peek_invalid_type (262, 310)",5.417,0.417,24.799,21.412,false,false,"/Deserializer<R> (135,1215)/peek_invalid_type (262,310)"
"deserialize_number (312, 336)",2.087,0.696,3.000,0.000,false,false,"/Deserializer<R> (135,1215)/deserialize_number (312,336)"
"fix_position (367, 369)",0.000,1.000,0.000,0.000,false,false,"/Deserializer<R> (135,1215)/fix_position (367,369)"
"parse_ident (371, 386)",4.000,0.667,6.000,0.000,false,false,"/Deserializer<R> (135,1215)/parse_ident (371,386)"
"parse_integer (388, 433)",6.568,0.730,9.004,1.286,false,false,"/Deserializer<R> (135,1215)/parse_integer (388,433)"
"parse_number (435, 454)",5.778,0.722,8.000,0.000,false,false,"/Deserializer<R> (135,1215)/parse_number (435,454)"
"parse_decimal (456, 488)",4.815,0.963,5.000,0.000,false,false,"/Deserializer<R> (135,1215)/parse_decimal (456,488)"
"parse_exponent (490, 544)",4.304,0.717,6.001,0.706,false,false,"/Deserializer<R> (135,1215)/parse_exponent (490,544)"
"f64_from_parts (547, 559)",0.000,0.000,56.000,28.000,false,true,"/Deserializer<R> (135,1215)/f64_from_parts (547,559)"
"f64_from_parts (562, 595)",11.088,0.853,13.000,0.000,false,false,"/Deserializer<R> (135,1215)/f64_from_parts (562,595)"
"parse_long_integer (600, 635)",0.000,0.000,2.000,4.000,false,false,"/Deserializer<R> (135,1215)/parse_long_integer (600,635)"
"parse_long_integer (640, 661)",0.650,0.650,1.000,0.000,false,false,"/Deserializer<R> (135,1215)/parse_long_integer (640,661)"
"parse_long_decimal (665, 684)",0.000,0.000,20.000,16.000,false,false,"/Deserializer<R> (135,1215)/parse_long_decimal (665,684)"
"parse_long_exponent (687, 732)",0.000,0.000,42.000,24.000,false,true,"/Deserializer<R> (135,1215)/parse_long_exponent (687,732)"
"parse_decimal_overflow (739, 755)",0.000,0.000,2.000,4.000,false,false,"/Deserializer<R> (135,1215)/parse_decimal_overflow (739,755)"
"parse_decimal_overflow (760, 776)",0.929,0.929,1.000,0.000,false,false,"/Deserializer<R> (135,1215)/parse_decimal_overflow (760,776)"
"parse_exponent_overflow (782, 797)",4.286,1.071,4.000,0.000,false,false,"/Deserializer<R> (135,1215)/parse_exponent_overflow (782,797)"
"f64_long_from_parts (800, 820)",0.000,0.000,56.000,28.000,false,true,"/Deserializer<R> (135,1215)/f64_long_from_parts (800,820)"
"parse_any_signed_number (822, 853)",1.833,0.458,4.488,5.000,false,false,"/Deserializer<R> (135,1215)/parse_any_signed_number (822,853)"
